,trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
25,1,1,1,1,0,1,-1,0,0,2,35,0,35,d,5.47,0.49,4.52,10,11,31,-100,61,0.9977137751,1.1105444887,0,1,k,50.0,14,incorrect,,0,1
31,2,2,1,1,0,1,-1,0,0,2,35,0,35,d,6.61,0.47,4.77,10,11,31,-100,61,0.1518961069,0.2200574821,0,1,k,50.0,14,incorrect,incorrect,0,1
37,3,3,1,1,0,1,-1,0,0,2,38,0,38,d,4.15,0.51,4.05,10,11,31,-100,61,0.5022051136,0.5902548489,0,1,k,50.0,14,incorrect,incorrect,0,1
43,4,4,1,1,1,1,1,0,0,2,57,2,59,k,5.84,0.45,4.87,10,12,32,-100,60,0.290581204,0.3901373303,1,1,k,50.0,14,correct,incorrect,1,0
49,5,5,1,1,0,1,-1,0,0,2,57,0,57,d,6.06,0.67,3.85,10,11,31,-100,60,0.0378987601,0.1400347652,1,1,d,40.0,14,correct,correct,1,0
55,6,6,1,1,0,1,-1,0,0,2,33,0,33,d,4.81,0.66,4.31,10,11,31,-100,60,0.4677053276,0.5802486594,1,1,d,40.0,14,correct,correct,1,0
61,7,7,1,0,1,-1,1,0,0,2,-36,2,-34,k,6.86,0.48,3.25,1,3,23,-100,61,1.1105031491,1.2006058966,0,1,d,40.0,14,incorrect,correct,0,1
67,8,8,1,0,1,-1,1,0,0,2,-49,2,-47,k,4.42,0.67,4.44,1,3,23,-100,61,0.3580301118,0.4301350039,0,1,d,40.0,14,incorrect,incorrect,0,1
73,9,9,1,1,1,1,1,0,0,2,52,2,54,k,5.95,0.41,4.88,10,12,32,-100,60,0.3605087798,0.4501060433,1,1,k,50.0,14,correct,incorrect,1,0
79,10,10,1,1,1,1,1,0,0,2,43,2,45,k,4.77,0.41,3.54,10,12,32,-100,61,0.6188399298,0.7002505182,0,1,d,40.0,14,incorrect,correct,0,1
85,11,11,1,0,1,-1,1,0,0,2,-40,2,-38,k,5.31,0.55,4.38,1,3,23,-100,61,0.6800896015,0.7603786027,0,1,d,40.0,14,incorrect,incorrect,0,1
97,13,13,1,0,0,-1,-1,0,0,2,-45,0,-45,d,6.59,0.61,4.81,1,2,22,-100,60,0.3217347597,0.3700927348,1,1,d,40.0,14,correct,incorrect,1,0
103,14,14,1,1,1,1,1,1,3,12,57,12,69,k,6.1,0.6,3.03,10,12,32,-100,60,0.3272648637,0.3801254387,1,1,k,50.0,14,correct,correct,1,0
109,15,15,1,1,0,1,-1,0,3,12,42,0,42,d,4.24,0.49,4.43,10,11,31,-100,61,0.2794015388,0.3501162784,0,1,k,50.0,14,incorrect,correct,0,1
115,16,16,1,1,0,1,-1,0,3,12,59,0,59,d,5.84,0.6,4.33,10,11,31,-100,61,0.6563013449,0.7603441055,0,1,k,50.0,14,incorrect,incorrect,0,1
121,17,17,1,0,0,-1,-1,0,3,12,-53,0,-53,d,6.3,0.61,3.4,1,2,22,-100,60,0.3156330283,0.4201065765,1,1,d,40.0,14,correct,incorrect,1,0
127,18,18,1,0,0,-1,-1,0,3,12,-37,0,-37,d,4.1,0.52,4.37,1,2,22,-100,61,0.5674168339,0.6402148065,0,1,k,50.0,14,incorrect,correct,0,1
133,19,19,1,1,0,1,-1,0,3,12,30,0,30,d,4.27,0.44,4.61,10,11,31,-100,61,0.179067657,0.2600751127,0,1,k,50.0,14,incorrect,incorrect,0,1
139,20,20,1,0,1,-1,1,0,3,12,-59,12,-47,k,6.66,0.58,3.35,1,3,23,-100,61,0.5965761081,0.7002798836,0,1,d,40.0,14,incorrect,incorrect,0,1
145,21,21,1,1,1,1,1,0,3,12,55,12,67,k,6.34,0.65,4.51,10,12,32,-100,60,0.0271128193,0.109952334,1,1,k,50.0,14,correct,incorrect,1,0
151,22,22,1,1,1,1,1,0,3,12,58,12,70,k,4.96,0.49,3.23,10,12,32,-100,60,0.287396911,0.3701420573,1,1,k,50.0,14,correct,correct,1,0
