trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
1,1,1,1,1,1,1,0,3,12,59,12,71,k,5.57,0.57,3.08,10,12,32,-100,60,0.4603925719,0.5901906353,1,1,k,50.0,16,correct,,1,0
2,2,1,0,1,-1,1,0,3,12,-41,12,-29,k,4.32,0.53,4.42,1,3,23,-100,60,0.3282484511,0.4601074756,1,1,k,50.0,16,correct,correct,1,0
3,3,1,1,1,1,1,0,3,12,41,12,53,k,5.83,0.47,4.63,10,12,32,-100,60,0.3551783605,0.4401099673,1,1,k,50.0,16,correct,correct,1,0
4,4,1,0,0,-1,-1,0,3,12,-38,0,-38,d,5.69,0.47,3.65,1,2,22,-100,61,0.6047333965,0.7402978173,0,1,k,50.0,16,incorrect,correct,0,1
5,5,1,0,1,-1,1,0,3,12,-39,12,-27,k,5.09,0.41,3.8,1,3,23,-100,60,0.350237642,0.5001409801,1,1,k,50.0,16,correct,incorrect,1,0
6,6,1,1,0,1,-1,0,3,12,42,0,42,d,5.73,0.53,4.19,10,11,31,-100,61,0.4014728644,0.5502084481,0,1,k,50.0,16,incorrect,correct,0,1
7,7,1,0,1,-1,1,0,3,12,-33,12,-21,k,4.83,0.47,3.26,1,3,23,-100,60,0.0537206917,0.2200852039,1,1,k,50.0,16,correct,incorrect,1,0
8,8,1,1,1,1,1,0,3,12,48,12,60,k,5.97,0.59,4.07,10,12,32,-100,60,0.3170170833,0.5001843147,1,1,k,50.0,16,correct,correct,1,0
9,9,1,0,1,-1,1,0,3,12,-40,12,-28,k,5.43,0.54,3.75,1,3,23,-100,60,0.2985585247,0.4301675197,1,1,k,50.0,16,correct,correct,1,0
10,10,1,1,0,1,-1,0,3,12,58,0,58,d,5.7,0.69,3.02,10,11,31,-100,60,0.7243278641,0.9003842243,1,1,d,40.0,16,correct,correct,1,0
11,11,1,0,0,-1,-1,0,3,12,-37,0,-37,d,4.78,0.65,4.17,1,2,22,-100,61,0.3457525073,0.5401773356,0,1,k,50.0,16,incorrect,correct,0,1
12,12,1,0,0,-1,-1,0,3,12,-33,0,-33,d,4.57,0.45,4.81,1,2,22,-100,61,0.3472954484,0.5601272328,0,1,k,50.0,16,incorrect,incorrect,0,1
13,13,1,0,1,-1,1,0,3,12,-40,12,-28,k,5.81,0.41,4.41,1,3,23,-100,60,0.3183211136,0.5202163197,1,1,k,50.0,16,correct,incorrect,1,0
14,14,1,0,0,-1,-1,1,1,4,-38,0,-38,d,4.36,0.65,3.03,1,2,22,-100,60,0.3126066438,0.4901574786,1,1,d,40.0,16,correct,correct,1,0
15,15,1,1,1,1,1,0,1,4,48,4,52,k,4.13,0.42,3.58,10,12,32,-100,60,0.4234041807,0.5601982217,1,1,k,50.0,16,correct,correct,1,0
16,16,1,0,1,-1,1,0,1,4,-56,4,-52,k,4.82,0.4,3.75,1,3,23,-100,60,0.375214927,0.5402012837,1,1,k,50.0,16,correct,correct,1,0
17,17,1,1,0,1,-1,0,1,4,59,0,59,d,4.64,0.6,4.66,10,11,31,-100,61,0.4505119902,0.6502798077,0,1,k,50.0,16,incorrect,correct,0,1
18,18,1,1,0,1,-1,0,1,4,54,0,54,d,6.22,0.41,3.14,10,11,31,-100,60,1.2781690091,1.4706805562,1,1,d,40.0,16,correct,incorrect,1,0
