s1eeg_twin1,s1eeg_twin2,s1eeg_twin3,s1keep,s2eeg,s2keep,trlid,subid
7.045395793713597e-12,-1.8690087029653076e-12,2.5454083521249503e-12,1.0,1.9914593959493086e-11,1.0,1,10
7.58008144757797e-11,3.485812200908181e-11,5.46013091675525e-11,1.0,-3.809237127854798e-11,1.0,2,10
-2.0433317253668326e-10,-1.5001428481605276e-10,-1.7677110752393785e-10,1.0,-2.0519390232493454e-10,1.0,3,10
-7.721026433863343e-11,-3.931028002274999e-11,-5.82673063572739e-11,1.0,-8.343259691674781e-11,1.0,4,10
1.7218818905955926e-10,-6.401461913351029e-11,5.4660094992393226e-11,1.0,-8.340972126190348e-11,1.0,5,10
2.6567420390634618e-11,4.701216901683614e-11,3.644345758880499e-11,1.0,4.4423022881340315e-11,1.0,6,10
-3.23192996833192e-10,-3.129695151634897e-10,-3.1769840782851213e-10,1.0,-3.6345521038291025e-10,1.0,7,10
2.0140414699549773e-10,4.084609937436762e-11,1.214995540789725e-10,1.0,2.463353391129165e-10,1.0,8,10
-7.690317082552401e-11,-8.174554650950032e-11,-7.90935997765345e-11,1.0,-9.195402600796541e-11,1.0,9,10
4.319090191688271e-10,8.75508931932422e-11,2.589151087435589e-10,1.0,2.2745096565783959e-10,1.0,10,10
2.3256096182462056e-11,-3.023372494191211e-12,1.0037794674201796e-11,1.0,6.233919471249294e-12,1.0,11,10
-6.858804256238367e-11,-3.158519693417924e-11,-4.983629561861764e-11,1.0,9.082465046010762e-11,1.0,12,10
2.0516154376884878e-10,3.641139079361278e-11,1.2126572562137574e-10,1.0,1.324108164826667e-11,1.0,13,10
1.6090832914401617e-11,-1.0270714325762063e-10,-4.308162050392373e-11,1.0,-1.7767771219054448e-11,1.0,14,10
-1.549651555856546e-11,2.0865179660178504e-10,9.424399125668466e-11,1.0,-3.1615561361759356e-10,1.0,15,10
4.461834922042848e-11,-1.6352310007254284e-10,-6.089073688034639e-11,1.0,-7.162241954256415e-11,1.0,16,10
-1.0969029919382396e-10,3.045275832090455e-11,-3.9511841963213105e-11,1.0,-2.236530543957483e-10,1.0,17,10
-2.8571974924001736e-10,-3.622467103020294e-10,-3.2392208188896605e-10,1.0,-3.089868975294761e-10,1.0,18,10
-6.129606955368155e-11,-5.1345925368867244e-11,-5.771127709128259e-11,1.0,-1.5116716089938606e-10,1.0,19,10
-1.0224129196857226e-10,1.4166110712837252e-10,2.0011028096787453e-11,1.0,-1.312840968088852e-10,1.0,20,10
-7.232077883633582e-11,-3.217501766205219e-12,-3.7329972408652825e-11,1.0,1.1890951632127303e-11,1.0,21,10
1.5343507598189743e-10,1.125199294134157e-10,1.3269841980109999e-10,1.0,2.907129484081722e-11,1.0,22,10
-5.92945420260602e-10,-6.524217998956161e-10,-6.225868531742921e-10,1.0,-6.080483625695154e-10,1.0,23,10
-5.147182604973794e-11,4.556726704337234e-11,-2.489906614009002e-12,1.0,-2.5381054135165902e-11,1.0,24,10
-2.6250559192835003e-11,8.736605560114428e-14,-1.26815430033386e-11,1.0,-8.369781705609965e-11,1.0,25,10
3.4388570277191027e-11,-1.1152765254689361e-11,1.1637505903206567e-11,1.0,1.0716124326597474e-10,1.0,26,10
-3.0271068389112737e-12,6.815358913855074e-12,1.9586499335510655e-12,1.0,9.457010877745075e-11,1.0,27,10
1.1828991843920287e-10,-2.934974831400067e-11,4.436728278581917e-11,1.0,1.871245004067047e-10,1.0,28,10
7.126301544260622e-11,1.3843124473209556e-10,1.0446036068028596e-10,1.0,5.409377054756613e-11,1.0,29,10
-1.1533020833336619e-10,-1.0124089037404503e-10,-1.0790968277009789e-10,1.0,-9.640737339164851e-11,1.0,30,10
-2.463876641792292e-10,-1.4812186892966275e-10,-1.9699718424890185e-10,1.0,-2.1964712042137498e-10,1.0,31,10
-2.2400539427715277e-12,5.87907355782031e-11,2.8109753510549768e-11,1.0,1.0570477439690789e-10,1.0,32,10
-1.5736660695390278e-10,-1.9758975365713742e-10,-1.7755026944709067e-10,1.0,-9.58769779868225e-11,1.0,33,10
3.624941781064746e-11,3.6112325484906297e-10,1.9874993746201733e-10,1.0,1.1365648848695351e-10,1.0,34,10
2.0481293706967417e-11,-7.504363259006683e-11,-2.8575406906359957e-11,1.0,-1.7426717389797443e-10,1.0,35,10
-1.9513019682452068e-11,-5.6537749313873605e-11,-3.779433139366103e-11,1.0,1.9768262328591244e-11,1.0,36,10
-1.330621658932623e-10,4.160390497792651e-11,-4.6177510881049244e-11,1.0,-1.7112372916642104e-10,1.0,37,10
-1.0691493787547128e-10,3.5780411387294425e-11,-3.525391154398032e-11,1.0,-6.641068638458183e-11,1.0,38,10
