s1eeg,s1keep,s2eeg,s2keep,trlid,subid
1.6634145759254237e-11,1.0,3.9071637887754165e-11,1.0,1,16
-2.1691730239823524e-11,1.0,1.6255192307821604e-11,1.0,2,16
4.565483481829143e-11,1.0,6.134831280552519e-11,1.0,3,16
9.922759235719445e-11,1.0,-8.101189879140185e-12,1.0,4,16
3.819322077383421e-11,1.0,2.950887084412982e-11,1.0,5,16
-1.568323533653022e-10,1.0,-1.7421095063213195e-10,1.0,6,16
-1.836802153685425e-10,1.0,-2.0587959859931182e-10,1.0,7,16
-1.306920316412154e-10,1.0,-1.1007175861821342e-10,1.0,8,16
-5.10646736625457e-11,1.0,-3.960854197626338e-11,1.0,9,16
4.329596418464107e-12,1.0,3.145710066303845e-11,1.0,10,16
2.781720216031407e-11,1.0,3.544961182931986e-11,1.0,11,16
-1.4505063469328825e-11,1.0,5.6413295617412346e-12,1.0,12,16
7.632629862456508e-11,1.0,2.050981863218663e-11,1.0,13,16
-3.693665983936952e-11,1.0,-1.2795685871720997e-10,1.0,14,16
2.3347765448160384e-10,1.0,4.025573912387122e-11,1.0,15,16
-7.359591313631223e-11,1.0,-1.3172670773924572e-10,1.0,16,16
-1.5693189303485457e-10,1.0,-1.1861905358173755e-10,1.0,17,16
-3.1538785155451495e-11,1.0,-4.192043987234978e-11,1.0,18,16
2.8321806596091463e-11,1.0,4.152589888209552e-11,1.0,19,16
1.0242597519618162e-10,1.0,2.1656831958675323e-11,1.0,20,16
1.7461001488464504e-11,1.0,-2.687869468239967e-11,1.0,21,16
1.5819095092674924e-10,1.0,8.356818268057696e-11,1.0,22,16
-4.646699094655318e-11,1.0,-9.400573587722829e-11,1.0,23,16
-1.1492062235965081e-11,1.0,6.326115769140728e-11,1.0,24,16
-6.163191639969365e-11,1.0,-2.564438780928161e-11,1.0,25,16
-7.957544988475646e-11,1.0,-4.516750049521839e-11,1.0,26,16
-3.4896296861488443e-11,1.0,-3.1654651824417937e-12,1.0,27,16
-4.107489561100806e-12,1.0,1.0125773448841061e-11,1.0,28,16
-4.9007191707343766e-11,1.0,-4.6792166829194976e-11,1.0,29,16
2.1277031424469752e-11,1.0,1.3131241414949188e-11,1.0,30,16
-2.2198093662349918e-11,1.0,-3.3117471096132234e-11,1.0,31,16
-1.7544612604879127e-10,1.0,-1.6291150851391465e-10,1.0,32,16
-4.3975711839929035e-11,1.0,-1.040411538896588e-11,1.0,33,16
-2.4093852935657804e-10,1.0,-2.390301546426312e-10,1.0,34,16
-8.200213134211104e-12,1.0,-4.0137176040244865e-11,1.0,35,16
5.928934934264413e-11,1.0,-2.9275475984416683e-12,1.0,36,16
-3.4574072804765545e-11,1.0,-3.2469629941872104e-11,1.0,37,16
-1.6462239578682373e-10,1.0,-1.6994761795775622e-10,1.0,38,16
1.9568605567150517e-10,1.0,1.27309798626225e-10,1.0,39,16
-1.2696344456849972e-11,1.0,2.875646245669718e-11,1.0,40,16
1.3058790054903998e-11,1.0,-3.673483694478607e-11,1.0,41,16
-8.932955719181807e-11,1.0,4.977428447528273e-11,1.0,42,16
-1.258458127786415e-10,1.0,-1.094292181315535e-10,1.0,43,16
-1.927425596758653e-11,1.0,-3.742678685971822e-11,1.0,44,16
-1.6319387117524382e-10,1.0,-1.0235246125630852e-10,1.0,45,16
-1.1397119764261721e-10,1.0,-7.847521408125006e-11,1.0,46,16
-8.094045381699933e-11,1.0,-1.0830185806444607e-10,1.0,47,16
-7.816289049724748e-11,1.0,-4.52590454912989e-11,1.0,48,16
-1.3837106535253563e-11,1.0,1.7626896996036897e-11,1.0,49,16
8.801859946942065e-11,1.0,2.8862761965799545e-11,1.0,50,16
1.3144254197476102e-11,1.0,2.413686520977456e-11,1.0,51,16
-9.658433188194931e-12,1.0,4.0354722900224054e-11,1.0,52,16
7.010934695983702e-11,1.0,-7.914138767403818e-11,1.0,53,16
-3.046360319183142e-11,1.0,-5.6704204237378856e-11,1.0,54,16
-3.406606957793103e-11,1.0,-5.1025233878003783e-11,1.0,55,16
-1.2878653642453498e-10,0.0,-2.3650888127978827e-10,1.0,56,16
-1.0128691904072437e-10,1.0,-9.257343881029162e-11,1.0,57,16
5.700015964636513e-11,1.0,1.594872716424431e-10,1.0,58,16
